type,user,content,time
2,論證,s10084,嗯嗯,2017-03-30 16:24:46
3,論證,s10083,因為沒有相關配套措施出來,2017-03-30 16:24:29
4,論證,s10084,要改變也沒那麼容易,2017-03-30 16:24:24
5,論證,s10084,所以還是只能先維持現況,2017-03-30 16:24:05
6,論證,s10083,社會新聞總是異常的多....同感無奈ˊwˋ,2017-03-30 16:23:41
7,論證,s10084,覺得無奈,2017-03-30 16:22:58
8,論證,s10084,嗯嗯 對呀...:(,2017-03-30 16:22:29
9,論證,s10083,然後換個名字再開公司....,2017-03-30 16:22:07
10,論證,s10084,沒被鬧大就先裝沒是...,2017-03-30 16:21:52
11,論證,s10083,現在應該只有家人會跟你說 什麼東西不要吃可能含不好的油XD,2017-03-30 16:21:47
12,論證,s10084,對呀 現在政府可能就先冷處理吧 ,2017-03-30 16:21:34
13,論證,s10083,又是一個被遺忘的議題XD,2017-03-30 16:21:04
14,論證,s10084,鼎心油也是,2017-03-30 16:20:41
15,論證,s10083,之後也很少再出現後續消息,2017-03-30 16:20:26
16,論證,s10084,對呀,2017-03-30 16:20:21
17,論證,s10084,現在好像也沒什麼消息與動作= =,2017-03-30 16:20:13
18,論證,s10083,因為新聞也是刷刷就過啦,2017-03-30 16:19:58
19,論證,s10084,當時廢核吵得很嚴重,2017-03-30 16:19:49
20,論證,s10083,"要改變現況真是不容易~""""",2017-03-30 16:19:45
21,論證,s10084,對呀 而且人民對於一個事件的堅持低、遺忘速度蠻高,2017-03-30 16:19:34
22,論證,s10083,就算是用廣告，大家不喜歡看廣告；用新聞呈現或是公聽會，也是有關注的人才會參加....,2017-03-30 16:18:36
23,論證,s10084,哀...,2017-03-30 16:17:21
24,論證,s10083,不過確實很難宣傳XD,2017-03-30 16:17:16
25,論證,s10083,嗯嗯...就跟所有其他的政策一樣,2017-03-30 16:17:06
26,論證,s10084,所以還是需要推廣去說吧,2017-03-30 16:16:30
27,論證,s10083,不然就算政府補助也難以因此就改方案XD,2017-03-30 16:16:05
28,論證,s10083,是啊...除非讓他們意識到轉型之後的維持成本可能比原本低,2017-03-30 16:14:53
29,論證,s10084,對呀 成本是有比較低了,2017-03-30 16:14:12
30,論證,s10084,嗯嗯 沒有資金哪能夠說變就變...只靠政府是不夠的..,2017-03-30 16:13:30
