group,stu_id,type,content,
0,s10057,4,核能發電的神學反省,11/24/16 10:15 AM
0,s10057,3,「......輻射經過很長的半衰期，以億萬年計算，才有生命，大自然不知給我們怎樣的厚禮來鎖著輻射，人類無端弄個科技把它釋放出來，然後告訴你只多了一點輻射而已，當天正因為多一點輻射，人類或生命就不能存在地球上，你現在弄多一點，我們就完蛋了......」已故香港反核健將文思慧在福島核災後的《反核----向生命負責》新書發布會，曾如此呼籲全球廢核，她是一位深深關懷生態與人民的女性。今天，日本「輻」水難收，是誰在打開盒子把輻射釋放出來而不肯在人類絕望之前及時廢核？請閱民間團體Beyond[Nuclear駁斥近擁核派影片Pandora's[Promise：核能電廠，無論是何種反應爐設計，無法即時阻止氣候變遷的問題。要有效大量減少排碳能源的使用，至少要在全球現有的核電廠之外，再新建1.000[~[1.500座發電量10億瓦以上的核反應爐，並且要在2050年之前全部上線發電、供電。這是完全做不到的主張。所謂的「第四代」核反應爐設計，包括「快」與「小」的模塊化反應爐機組，是失敗中的核電產業最後喘的一口氣。先前的「快中子增殖反應爐」是商業失敗案例與安全災難。不斷飆漲的成本是核電產業投資人的爛,11/24/16 10:14 AM
0,s10057,4,核能發電是開啟潘朵拉災難的盒子！,11/24/16 10:12 AM
0,s10057,4,核能發電現況與展望,11/24/16 10:09 AM
0,s10057,4,認識核能發電,11/24/16 10:08 AM
0,s10057,4,終止核能發電,11/24/16 10:08 AM
0,s10057,2,OROR核能發電,11/24/16 10:06 AM
0,s10057,2,OROR你會支持核能發電嗎,11/24/16 10:06 AM
0,s10057,4,歐盟報告稱[太陽能發電成本可媲美核能,11/24/16 10:03 AM
0,s10057,4,生質能之應用,11/24/16 10:02 AM
0,s10057,4,生質能發電,11/24/16 10:02 AM
0,s10057,4,什麼是生質能源,11/24/16 10:02 AM
0,s10057,2,OROR太陽能,11/24/16 10:01 AM
0,s10057,4,火力發電,11/24/16 10:01 AM
0,s10057,2,OROR生質能,11/24/16 10:00 AM
0,s10057,2,OROR火力發電,11/24/16 09:59 AM
0,s10057,4,核能發電的優缺點,11/24/16 09:57 AM
0,s10057,2,OROR核能,11/24/16 09:55 AM
0,s10058,2,核能發電ANDOR,11/24/16 09:51 AM
0,s10058,2,核能發電AND環境OR,11/24/16 09:51 AM
0,s10058,2,核能發電AND優點OR,11/24/16 09:51 AM
0,s10058,4,台灣的核廢料問題,11/24/16 09:51 AM
0,s10058,2,核能發電AND效益OR,11/24/16 09:50 AM
0,s10058,4,如果核四續建：法、德、日都解決不了的難題,11/24/16 09:50 AM
0,s10058,4,台灣～核能發電～再生能源,11/24/16 09:47 AM
0,s10058,4,核能發電現況與展望,11/24/16 09:46 AM
0,s10058,3,繼續使用核能發電代表繼續使核電廠周圍的人口曝露在輻射的風險中。核電廠例行釋放或是意外事件大釋放出的電離輻射導致細胞損傷與基因突變，進而導致癌症與其他相關疾病。特別是兒童所受的傷害更大。研究資料顯示居住越靠近運轉的核電廠的兒童，白血病例越高。「支持核能的環保份子」這種東西是不存在的。環保份子不支持使用抽出物、無法永續的產業，例如核電產業。核電產業毒害環境、釋放致癌的輻射物質、製造遺害萬年的輻射廢料，而且如果發生意外事件將會導致廣大地區成為核電的永久犧牲區。,11/24/16 09:46 AM
0,s10058,3,「支持核能的環保份子」這種東西是不存在的。環保份子不支持使用抽出物、無法永續的產業，例如核電產業。核電產業毒害環境、釋放致癌的輻射物質、製造遺害萬年的輻射廢料，而且如果發生意外事件將會導致廣大地區成為核電的永久犧牲區。,11/24/16 09:46 AM
0,s10058,2,核能發電ANDOR,11/24/16 09:45 AM
0,s10058,2,核能發電AND廢除OR,11/24/16 09:45 AM
0,s10058,4,核能發電是開啟潘朵拉災難的盒子！,11/24/16 09:45 AM
0,s10058,4,終止核能發電,11/24/16 09:45 AM
0,s10058,2,生質能OROR,11/24/16 09:42 AM
0,s10058,4,生質能之應用,11/24/16 09:42 AM
0,s10058,4,生質能發電能不能取代核能？,11/24/16 09:42 AM
0,s10058,4,生質能發電,11/24/16 09:41 AM
0,s10058,2,火力發電OROR,11/24/16 09:40 AM
0,s10058,4,火力發電,11/24/16 09:39 AM
0,s10058,3,核能發電：原料充足[發電量又大[/[安全性[核廢料,11/24/16 09:39 AM
0,s10058,3,核能發電：原料充足[發電量又大[/[,11/24/16 09:38 AM
0,s10058,3,核能發電：原料充足[,11/24/16 09:38 AM
0,s10058,2,核能ANDOR,11/24/16 09:38 AM
0,s10058,2,核能AND火OR,11/24/16 09:38 AM
0,s10058,4,癮科學：替代能源[--[核能,11/24/16 09:38 AM
0,s10058,2,核能AND火力發電OR,11/24/16 09:38 AM
0,s10058,2,核能AND優點OR,11/24/16 09:37 AM
0,s10058,4,歐盟報告稱[太陽能發電成本可媲美核能,11/24/16 09:37 AM
0,s10058,2,核能OROR,11/24/16 09:37 AM
0,s10058,4,認識核能發電,11/24/16 09:37 AM
0,s10056,2,車諾比OR核能OR,11/17/16 03:40 PM
0,s10056,2,OR車諾比OR,11/17/16 03:40 PM
0,s10055,1,難道台灣還要重蹈覆轍嗎,11/17/16 03:40 PM
0,s10056,2,實驗OR車諾比OR,11/17/16 03:40 PM
0,s10056,2,實驗OR車諾比OR,11/17/16 03:39 PM
0,s10055,1,車諾比事件後出現許多身心障礙的兒童，且日本也發生嚴重核安危機,11/17/16 03:39 PM
0,s10055,1,台灣核電廠的緊急疏散只有半徑5公里，多數的新北市、全部的台北市都在核一、核二廠30公里範圍內，五、六百萬人口，同樣疏散面積人口是日本的20倍，疏散難度更高。,11/17/16 03:39 PM
0,s10056,4,支持核能的環保人士忘記車諾比對我們的危害,11/17/16 03:39 PM
0,s10056,1,1986年4月26日車諾比爾核電廠，發生核能工業史上最嚴重的核子事故，災變發生的原因是因為蘇聯設計的反應爐，安全穩定度不足(如正溫度反應度係數等)、且沒有圍阻體，加上運轉人員的操作違反運轉規範，導致反應爐失去控制，以致釀成災害。,11/17/16 03:39 PM
0,s10055,1,對於整個地球的環境都有殘留性,11/17/16 03:38 PM
0,s10056,1,與福島核災相較，車諾比核災之嚴重性有很大的差異，是因為其原子爐無圍阻體加以包封，造成大量放射性物質隨爆炸而外洩，且當時的蘇聯政府未執行適當的疏散與防災應變，受害民眾在發生事故時放射性碘隨著飲水與食物進入體內，因而出現罹患甲狀腺癌增加。如果當時有進行良好的疏散計畫，這種體內甲狀腺劑量曝露增加，是可以避免的。,11/17/16 03:38 PM
0,s10055,1,而這些災害不只是人命傷亡,11/17/16 03:38 PM
0,s10055,1,我們如何確保相關福射災害不再發生,11/17/16 03:38 PM
0,s10055,1,且核電廠事故一再發生,11/17/16 03:38 PM
